distancia_km,chuva,horario_pico,tempo_min,atraso
13.95,0,0,41.5,0
10.12,0,0,35.8,0
12.05,1,0,51.0,0
13.92,0,0,39.8,0
13.79,0,0,44.3,0
14.66,0,0,46.7,0
11.61,0,0,36.1,0
10.31,0,0,34.7,0
11.68,0,0,49.3,0
5.25,1,0,35.1,0
6.21,1,0,53.9,0
6.71,0,1,36.3,0
8.01,0,1,37.0,0
13.6,1,1,67.8,1
8.38,1,0,44.9,0
10.49,0,0,40.5,0
17.2,0,0,72.1,1
10.57,0,1,40.8,0
14.95,0,1,65.9,1
8.27,0,1,41.3,0
11.18,0,1,37.5,0
8.2,1,0,48.0,0
10.64,1,1,67.8,1
15.36,1,1,67.1,1
5.09,0,0,21.2,0
13.74,0,1,44.1,0
12.95,1,0,48.0,0
9.62,1,1,63.2,1
6.22,0,1,30.4,0
12.29,1,0,47.1,0
9.88,0,1,46.3,0
12.93,1,0,53.1,0
12.09,0,1,48.0,0
18.41,0,1,75.4,1
11.04,0,1,40.0,0
7.91,0,1,32.4,0
12.72,0,0,45.2,0
12.88,0,0,51.4,0
17.44,0,0,67.0,1
15.34,1,0,59.4,0
13.43,0,0,52.8,0
17.85,0,0,54.1,0
7.24,1,0,52.5,0
9.44,0,0,26.4,0
8.29,0,1,49.2,0
10.44,1,0,44.7,0
6.49,1,1,60.6,1
14.54,0,0,53.8,0
11.11,1,0,44.2,0
6.12,0,0,20.7,0
7.94,0,0,35.3,0
13.25,1,0,65.1,1
15.35,0,0,51.6,0
19.99,1,0,78.3,1
23.66,0,0,82.3,1
13.66,1,0,59.9,0
8.04,0,0,21.1,0
3.47,0,1,19.7,0
13.07,0,0,46.9,0
8.75,0,1,49.8,0
10.34,1,1,69.3,1
9.55,0,1,49.1,0
11.44,0,1,51.3,0
16.26,0,0,60.0,0
12.63,0,0,39.2,0
11.37,1,0,51.0,0
7.86,0,1,32.8,0
5.3,1,0,25.2,0
10.05,0,0,38.5,0
11.78,0,1,51.7,0
19.07,0,0,68.0,1
12.52,0,0,47.4,0
15.93,1,1,76.5,1
10.0,1,0,51.9,0
7.26,1,0,39.5,0
8.14,0,1,42.3,0
9.1,0,0,28.2,0
20.51,0,0,70.1,1
8.71,0,0,36.8,0
15.35,1,1,68.4,1
8.39,0,0,31.5,0
15.73,0,1,57.8,0
13.54,1,1,63.9,1
11.37,1,0,44.2,0
11.84,0,0,50.4,0
9.38,0,0,41.6,0
13.78,0,1,60.1,1
10.18,0,0,50.3,0
7.1,0,0,26.0,0
6.89,0,0,47.9,0
12.69,1,1,63.5,1
18.32,1,0,74.7,1
12.64,0,1,50.1,0
11.53,0,0,43.2,0
13.14,0,1,60.3,1
17.22,0,0,56.9,0
12.88,0,0,57.1,0
10.36,0,1,47.7,0
16.43,0,1,66.2,1
13.72,0,0,40.8,0
18.14,0,0,63.4,1
12.73,0,0,43.3,0
7.1,1,0,35.0,0
6.53,0,0,20.1,0
18.6,0,1,89.5,1
18.89,1,0,72.8,1
11.28,0,1,38.6,0
10.47,0,0,32.5,0
17.85,1,0,71.2,1
7.57,0,1,41.5,0
8.42,0,0,35.1,0
14.57,0,1,63.5,1
10.42,0,0,32.8,0
11.98,0,1,53.3,0
11.35,0,1,42.9,0
13.35,0,1,50.7,0
17.63,0,0,52.5,0
12.36,0,0,34.8,0
14.58,0,0,57.2,0
3.8,0,0,22.2,0
11.81,1,0,60.3,1
8.63,0,0,32.2,0
7.12,0,0,32.8,0
8.49,0,0,19.1,0
10.66,0,0,44.0,0
15.66,0,0,54.2,0
6.69,0,0,30.5,0
12.12,0,1,54.0,0
10.06,1,0,41.3,0
10.69,1,0,39.6,0
16.01,0,0,49.0,0
14.15,0,1,61.4,1
17.35,0,0,62.9,1
11.38,0,0,30.6,0
9.22,0,1,35.8,0
11.1,1,0,46.3,0
12.97,1,1,63.4,1
12.71,1,1,55.6,0
7.66,0,0,19.0,0
12.36,1,0,49.3,0
12.91,0,1,54.3,0
22.07,0,1,72.9,1
19.51,0,0,63.7,1
8.59,1,0,51.2,0
10.85,0,0,29.4,0
6.15,1,0,35.0,0
9.64,0,1,51.1,0
13.26,1,0,54.9,0
16.82,0,1,61.5,1
9.08,0,1,50.4,0
9.38,1,1,53.0,0
3.41,0,1,33.0,0
11.35,0,1,52.1,0
7.75,0,1,35.9,0
9.88,0,1,48.0,0
8.49,0,0,33.7,0
11.62,0,0,48.0,0
4.97,0,0,17.1,0
6.13,1,1,45.7,0
20.52,0,1,76.1,1
6.85,0,0,31.5,0
7.61,0,0,21.7,0
19.35,0,0,71.2,1
23.62,0,1,89.1,1
7.31,1,0,30.7,0
10.53,1,0,58.0,0
13.37,0,1,70.7,1
18.91,0,1,78.8,1
8.05,0,0,40.1,0
11.02,0,0,39.7,0
15.11,0,1,48.7,0
13.74,0,1,43.3,0
10.5,0,1,48.3,0
11.46,0,0,36.3,0
6.5,0,0,19.1,0
11.05,0,0,38.7,0
10.93,0,1,52.1,0
12.93,0,0,34.6,0
9.78,1,0,44.2,0
13.89,0,1,67.2,1
16.05,0,1,55.6,0
12.62,0,1,59.0,0
13.41,1,0,54.8,0
12.21,0,0,46.5,0
12.0,1,0,61.7,1
9.11,1,0,50.5,0
13.27,0,0,52.2,0
11.61,0,0,32.8,0
20.37,0,0,74.9,1
18.29,1,1,75.9,1
13.54,0,1,57.4,0
8.95,1,0,46.7,0
7.55,0,0,32.0,0
16.76,0,0,58.7,0
13.05,0,0,39.2,0
13.92,0,0,38.3,0
5.02,0,0,27.2,0
15.71,0,1,63.4,1
13.82,1,0,67.5,1
7.56,1,1,49.4,0
10.11,0,0,26.5,0
13.05,0,0,51.9,0
12.21,0,0,40.0,0
10.83,1,0,52.9,0
11.59,0,0,36.2,0
10.99,1,1,71.5,1
12.61,0,0,37.7,0
17.89,0,0,57.3,0
1.73,0,0,12.0,0
11.05,0,0,31.5,0
12.71,1,0,58.4,0
13.18,0,0,56.8,0
10.51,0,1,43.1,0
4.97,1,0,35.7,0
13.31,1,0,38.7,0
18.91,1,1,83.5,1
5.86,0,1,30.4,0
15.46,0,0,46.6,0
10.69,1,0,57.6,0
11.75,0,0,39.0,0
7.79,0,0,28.1,0
10.66,1,0,47.3,0
17.2,0,1,53.2,0
14.33,0,0,41.1,0
18.93,1,1,90.5,1
16.71,0,0,41.4,0
13.76,0,1,50.9,0
18.98,0,1,69.1,1
13.76,0,0,59.5,0
15.31,0,0,57.3,0
10.81,1,0,46.5,0
12.27,1,1,72.9,1
9.21,0,0,28.4,0
15.96,0,0,60.9,1
7.29,1,0,30.3,0
15.13,0,1,67.9,1
11.24,0,0,36.9,0
16.68,0,0,48.9,0
15.0,0,1,58.5,0
19.28,0,0,65.8,1
14.92,0,1,56.3,0
5.71,0,0,27.0,0
11.73,0,0,37.1,0
7.31,0,1,41.3,0
9.93,0,1,47.9,0
18.04,0,1,68.7,1
14.55,0,0,46.6,0
9.2,0,0,34.7,0
7.95,0,0,33.7,0
12.13,0,0,56.8,0
7.13,0,0,34.0,0
9.32,1,0,52.8,0
13.25,0,0,67.4,1
16.62,1,0,71.5,1
14.44,1,0,64.7,1
2.83,0,0,19.4,0
13.22,0,1,47.6,0
12.29,1,1,60.8,1
13.66,0,0,43.4,0
18.46,0,1,74.9,1
3.75,0,1,25.0,0
9.64,0,0,35.9,0
14.36,0,0,56.7,0
5.67,1,0,41.1,0
17.9,1,0,70.6,1
13.47,0,1,50.7,0
15.39,1,1,81.1,1
9.72,0,0,40.6,0
15.26,1,1,61.5,1
16.27,0,0,52.6,0
12.93,1,0,58.0,0
12.94,1,1,71.3,1
13.08,0,0,51.6,0
8.55,0,0,33.6,0
11.41,1,0,56.3,0
11.39,0,1,49.6,0
13.53,0,0,41.9,0
16.0,1,0,64.2,1
7.77,0,0,29.4,0
11.5,0,0,40.3,0
17.93,0,0,46.6,0
9.03,0,1,39.3,0
8.71,1,1,53.5,0
12.81,0,1,51.5,0
15.38,0,1,59.4,0
12.05,0,0,45.6,0
17.32,1,0,62.4,1
15.43,0,0,40.9,0
15.37,1,0,61.7,1
14.22,1,1,75.0,1
21.31,1,1,102.7,1
11.18,1,1,66.0,1
3.99,1,0,19.7,0
18.42,1,0,71.6,1
10.17,0,0,38.3,0
12.43,1,0,56.5,0
17.24,0,0,61.5,1
5.59,0,0,16.4,0
6.99,1,0,39.4,0
5.59,1,1,46.7,0
8.82,1,0,50.3,0
13.76,0,0,41.6,0
14.1,0,1,54.9,0
13.11,0,0,26.4,0
6.35,0,1,29.7,0
2.76,0,1,19.6,0
12.22,0,0,35.5,0
10.11,0,1,46.5,0
13.84,1,1,68.1,1
14.81,0,1,43.6,0
12.55,1,1,66.2,1
15.04,0,1,53.6,0
12.92,0,0,48.2,0
14.12,0,0,39.4,0
9.18,0,1,42.8,0
11.28,1,1,58.9,0
12.79,0,0,46.5,0
15.28,0,1,61.7,1
10.43,1,0,47.5,0
14.08,1,1,58.5,0
10.94,0,1,37.5,0
11.53,0,0,36.5,0
15.32,0,0,51.9,0
4.03,0,0,13.8,0
6.81,0,0,30.8,0
6.07,0,0,22.3,0
2.67,1,0,19.2,0
9.29,0,0,31.9,0
15.0,0,0,52.6,0
10.86,0,0,40.9,0
12.79,1,1,78.5,1
16.36,0,1,59.4,0
17.31,1,1,78.4,1
11.72,1,1,65.2,1
17.41,0,1,67.1,1
12.37,0,0,39.6,0
8.65,0,1,30.1,0
9.62,0,0,31.3,0
6.08,1,0,28.7,0
8.45,0,0,19.3,0
10.57,1,1,53.1,0
15.21,0,1,53.3,0
18.88,0,0,66.7,1
6.47,0,0,29.6,0
13.57,0,0,40.4,0
7.84,0,1,36.7,0
13.9,0,1,43.7,0
11.48,0,0,37.0,0
4.68,1,0,34.8,0
15.71,0,0,58.9,0
9.58,1,0,41.7,0
9.86,0,1,52.0,0
7.72,0,1,27.6,0
9.38,0,0,25.4,0
13.71,0,0,52.1,0
11.24,0,0,51.4,0
13.31,0,0,49.4,0
13.45,1,0,58.1,0
17.28,0,0,42.5,0
10.63,0,1,32.7,0
6.09,0,0,25.2,0
16.27,0,0,52.3,0
10.67,0,0,30.3,0
16.46,0,0,55.8,0
13.53,0,1,56.4,0
11.48,0,0,47.0,0
13.4,1,1,68.1,1
19.8,0,1,83.0,1
20.31,1,0,79.0,1
12.28,0,1,51.0,0
12.64,0,1,60.4,1
16.3,1,0,60.1,1
8.62,0,0,51.6,0
13.33,1,1,69.6,1
11.9,0,1,53.4,0
13.26,0,0,49.4,0
8.67,1,0,57.1,0
5.64,0,0,28.5,0
3.71,0,1,14.9,0
7.53,0,0,38.4,0
10.17,0,0,34.1,0
10.83,1,1,60.2,1
19.75,0,1,65.3,1
16.42,0,1,68.0,1
8.15,1,0,37.9,0
13.39,0,0,46.9,0
10.37,1,1,56.1,0
10.86,0,1,61.1,1
12.74,0,0,58.1,0
14.48,1,1,70.8,1
10.64,0,0,38.4,0
16.26,0,0,52.2,0
7.43,0,0,36.0,0
12.03,1,0,51.8,0
22.39,1,0,82.2,1
12.89,0,1,60.5,1
17.73,0,0,55.4,0
12.37,1,0,54.8,0
14.32,0,0,37.9,0
11.77,0,0,46.2,0
11.32,0,0,53.5,0
8.88,0,0,37.7,0
13.72,1,0,69.4,1
8.59,1,1,46.9,0
14.66,1,1,72.6,1
16.34,0,0,48.4,0
13.47,0,1,53.8,0
10.86,0,1,53.0,0
13.82,0,1,57.2,0
10.77,0,1,37.4,0
15.74,0,1,53.0,0
4.67,0,1,19.4,0
10.66,0,1,50.4,0
4.04,1,0,44.6,0
6.02,0,1,42.6,0
17.46,0,0,45.1,0
15.58,1,1,83.7,1
9.12,1,0,51.9,0
5.99,1,0,25.2,0
1.0,0,0,6.9,0
9.83,1,0,55.1,0
21.68,0,0,74.9,1
13.74,0,0,38.1,0
9.76,0,0,39.6,0
13.86,0,0,32.6,0
5.76,0,0,21.7,0
10.81,0,1,55.4,0
12.4,1,0,55.3,0
11.66,0,0,37.5,0
15.16,0,0,57.7,0
13.38,0,0,53.0,0
14.67,0,0,59.2,0
9.25,0,1,48.9,0
15.59,0,1,69.3,1
18.52,0,0,66.7,1
8.12,1,1,53.2,0
8.45,1,0,44.0,0
17.34,0,0,56.4,0
11.23,0,0,31.2,0
17.62,1,0,64.2,1
10.23,1,1,55.7,0
17.82,0,1,70.2,1
12.53,1,1,74.7,1
13.03,1,0,56.8,0
18.26,1,1,88.8,1
10.55,0,0,45.2,0
8.24,0,0,29.1,0
10.21,0,0,40.8,0
13.81,0,1,54.7,0
5.74,0,1,41.5,0
14.55,0,0,54.1,0
9.84,0,0,27.2,0
16.59,0,1,65.9,1
2.42,1,1,45.8,0
8.85,0,0,31.3,0
5.25,0,1,33.9,0
8.7,1,1,56.9,0
12.99,1,1,58.7,0
11.28,1,0,55.4,0
10.99,1,1,50.2,0
11.36,1,0,47.7,0
12.81,0,1,61.0,1
7.97,0,0,32.4,0
14.83,0,0,48.4,0
14.65,0,0,53.1,0
13.54,1,0,58.2,0
14.23,0,0,48.8,0
13.19,0,0,50.2,0
20.14,0,0,61.3,1
11.65,0,0,41.2,0
10.77,0,1,45.1,0
8.99,0,1,30.9,0
7.87,1,1,44.2,0
7.02,0,0,38.0,0
8.44,1,0,46.0,0
11.72,0,1,40.9,0
13.34,0,0,35.2,0
12.2,0,0,41.8,0
8.94,1,1,64.7,1
15.6,0,1,60.5,1
14.96,1,0,72.0,1
11.36,0,1,51.5,0
9.39,0,0,37.5,0
14.19,1,1,60.2,1
12.75,0,0,50.8,0
6.21,0,0,22.3,0
11.73,1,1,68.2,1
13.05,0,0,39.4,0
8.4,0,1,41.4,0
12.76,0,0,46.7,0
6.18,0,1,32.5,0
17.34,1,1,81.9,1
16.99,1,0,67.1,1
10.99,0,1,43.4,0
13.45,1,0,69.6,1
2.36,0,0,20.4,0
7.37,0,0,22.8,0
10.82,0,1,51.5,0
7.71,1,1,44.9,0
14.86,0,1,51.3,0
19.99,0,1,82.2,1
7.29,0,1,25.0,0
8.65,1,0,50.4,0
12.94,0,1,52.1,0
18.44,0,0,59.9,0
7.11,1,0,42.2,0
13.0,0,0,49.1,0
19.29,0,0,58.1,0
5.39,0,0,27.2,0
6.88,0,0,27.4,0
10.31,0,0,28.1,0
9.92,1,0,46.6,0
15.25,0,1,70.4,1
12.97,0,1,65.6,1
4.9,1,0,37.7,0
14.06,0,0,39.9,0
9.69,0,0,38.5,0
17.1,1,0,75.2,1
9.49,0,1,48.5,0
9.45,1,0,51.9,0
14.16,1,1,72.0,1
15.05,0,1,59.6,0
13.79,0,0,43.1,0
5.26,0,1,17.5,0
14.15,0,0,50.8,0
7.86,0,1,39.9,0
12.94,0,1,57.7,0
6.31,1,1,36.6,0
13.79,1,1,72.9,1
8.77,1,1,67.7,1
6.87,0,1,36.2,0
14.86,0,0,50.1,0
12.97,0,1,56.1,0
9.54,0,1,57.9,0
17.8,1,0,64.2,1
10.24,0,1,47.1,0
12.13,0,0,36.8,0
13.08,1,0,53.4,0
9.52,0,0,34.2,0
13.88,0,0,57.1,0
9.87,0,1,57.2,0
10.35,0,0,40.2,0
17.45,1,0,67.7,1
7.84,0,0,47.0,0
2.35,1,0,22.1,0
18.44,1,1,78.3,1
22.2,1,1,81.2,1
10.38,0,0,46.9,0
4.25,0,0,25.5,0
10.76,1,0,67.2,1
10.86,0,1,37.8,0
11.24,0,0,49.9,0
7.55,1,0,41.1,0
14.32,0,0,54.6,0
14.1,1,0,48.8,0
6.02,1,0,46.3,0
14.8,1,0,67.9,1
20.21,0,1,75.4,1
12.69,1,1,69.6,1
10.65,0,0,32.6,0
11.43,1,1,57.2,0
14.46,1,1,67.1,1
5.08,1,0,20.3,0
12.66,0,0,50.0,0
10.44,0,0,45.7,0
19.39,0,1,68.3,1
11.3,0,0,42.3,0
18.67,0,1,69.2,1
7.59,0,0,31.1,0
14.35,0,0,44.7,0
13.28,1,1,60.6,1
8.52,1,0,50.9,0
12.71,0,1,52.7,0
16.85,1,1,91.7,1
10.7,0,1,47.4,0
5.23,0,0,15.2,0
11.93,0,1,59.4,0
8.39,1,0,47.6,0
10.63,1,0,55.0,0
11.67,1,1,70.4,1
5.18,1,1,38.0,0
5.54,1,0,33.7,0
13.93,0,0,46.6,0
9.91,0,1,35.7,0
1.74,0,1,18.4,0
15.14,1,0,72.8,1
13.09,0,1,55.9,0
9.14,0,0,24.0,0
6.73,1,0,27.3,0
15.34,0,1,72.7,1
13.4,1,1,66.6,1
21.53,0,0,66.1,1
13.68,1,0,57.1,0
13.55,1,0,48.3,0
11.33,0,1,59.0,0
15.27,1,0,61.0,1
14.5,0,0,59.1,0
17.01,0,1,66.4,1
9.91,0,0,45.8,0
10.26,1,0,50.6,0
10.08,0,0,42.2,0
15.16,0,1,65.5,1
17.99,1,0,76.3,1
10.16,0,0,38.9,0
10.3,0,0,35.3,0
13.26,0,1,68.2,1
11.02,0,1,41.7,0
15.81,1,0,65.5,1
2.99,0,0,15.1,0
8.69,0,1,43.9,0
8.87,1,0,41.6,0
2.72,0,0,16.4,0
8.15,1,0,41.3,0
8.34,0,0,19.9,0
11.2,1,0,51.7,0
16.45,1,0,59.7,0
11.02,1,0,38.9,0
7.88,0,0,30.6,0
11.77,0,1,53.7,0
16.2,1,0,70.3,1
8.1,0,0,34.3,0
8.36,0,1,26.5,0
14.23,0,0,39.2,0
11.11,1,1,74.2,1
14.59,1,0,54.4,0
11.95,0,1,55.1,0
14.81,1,0,57.6,0
7.86,0,0,30.1,0
11.95,0,0,37.4,0
11.16,0,0,43.4,0
7.14,0,0,28.4,0
5.75,0,1,29.1,0
14.74,1,1,63.9,1
10.6,1,0,51.7,0
7.91,0,1,30.2,0
11.62,0,1,52.8,0
16.51,0,1,82.9,1
2.88,1,1,45.1,0
6.01,1,1,50.1,0
8.31,1,0,42.3,0
17.84,0,1,55.0,0
13.13,0,1,45.1,0
15.07,0,0,60.2,1
7.44,0,0,22.8,0
7.52,0,0,23.7,0
13.79,0,1,55.2,0
12.23,1,0,47.3,0
14.19,0,1,49.0,0
11.25,0,1,48.4,0
13.11,1,1,60.1,1
12.63,0,0,38.7,0
15.11,1,1,66.9,1
15.23,0,1,64.3,1
5.52,1,0,32.9,0
3.01,0,1,22.8,0
16.01,0,0,58.2,0
16.75,1,1,76.3,1
7.92,0,0,27.8,0
4.56,0,0,23.0,0
12.4,0,0,47.9,0
15.72,0,0,52.1,0
19.19,1,0,76.1,1
14.07,0,1,51.7,0
10.51,0,0,31.5,0
8.43,0,0,36.7,0
12.05,1,1,66.3,1
10.8,0,1,50.6,0
7.94,0,0,31.8,0
20.2,1,1,87.9,1
19.14,0,0,68.3,1
16.54,1,1,83.2,1
8.32,0,0,37.3,0
15.42,0,1,60.6,1
14.56,0,1,68.4,1
13.77,1,1,69.9,1
17.0,0,0,61.4,1
14.54,0,1,60.6,1
14.96,0,0,52.6,0
14.55,0,1,53.5,0
13.36,0,1,60.0,0
4.87,0,1,49.5,0
12.33,0,0,40.4,0
9.78,0,0,35.8,0
6.88,0,0,23.5,0
18.73,0,0,58.8,0
18.92,0,0,73.6,1
17.44,0,0,53.6,0
13.02,0,1,50.7,0
17.4,0,0,47.1,0
12.05,0,0,36.8,0
12.81,0,0,32.5,0
7.63,0,1,42.3,0
13.59,1,1,87.4,1
12.24,0,0,40.2,0
6.79,1,0,26.7,0
11.8,0,0,47.7,0
11.68,1,0,48.0,0
19.19,0,0,72.7,1
15.58,0,0,50.8,0
12.05,0,1,46.7,0
13.0,1,0,55.7,0
12.18,0,1,56.8,0
11.19,0,0,38.0,0
7.67,0,1,34.5,0
11.4,1,1,59.8,0
9.02,0,1,33.1,0
7.0,0,0,29.8,0
14.04,0,0,35.6,0
13.57,1,1,64.6,1
4.85,0,1,34.9,0
11.51,0,0,42.6,0
15.98,1,0,70.1,1
16.24,0,0,54.3,0
16.1,0,1,71.5,1
12.16,0,1,57.9,0
8.62,0,1,44.0,0
7.67,0,1,44.5,0
13.38,0,0,51.4,0
13.52,1,0,55.5,0
17.15,1,0,60.0,0
16.4,0,1,67.1,1
11.47,0,0,44.2,0
7.02,0,0,34.7,0
10.72,1,0,43.6,0
12.87,0,0,38.3,0
11.19,0,0,42.8,0
9.69,0,0,34.6,0
13.01,0,0,31.8,0
9.98,0,1,47.6,0
9.49,1,0,33.5,0
13.25,0,0,39.1,0
10.39,1,0,58.6,0
12.98,0,1,66.7,1
13.09,1,0,48.8,0
7.44,1,1,47.0,0
10.08,1,1,57.5,0
17.75,0,1,80.7,1
7.35,0,0,24.6,0
3.53,0,1,22.3,0
4.55,0,0,30.5,0
12.12,0,0,39.7,0
12.12,1,0,59.4,0
11.53,1,0,42.2,0
16.86,0,0,55.4,0
1.31,0,0,5.0,0
13.58,1,0,51.4,0
18.25,1,0,78.6,1
7.49,0,0,28.1,0
10.48,0,1,44.2,0
8.99,1,0,39.7,0
8.42,0,1,38.7,0
10.69,0,0,40.2,0
17.71,1,0,78.0,1
19.35,1,0,57.7,0
10.66,1,0,44.1,0
19.62,1,0,78.0,1
12.14,0,0,41.7,0
19.01,0,0,65.9,1
11.63,0,0,42.8,0
12.52,0,0,41.4,0
13.46,0,0,42.7,0
24.72,0,0,78.4,1
15.41,0,0,60.3,1
9.17,1,0,40.4,0
15.88,0,0,53.2,0
10.55,0,0,38.9,0
10.04,0,0,47.0,0
15.63,0,1,59.8,0
12.12,1,0,61.1,1
13.11,0,0,54.0,0
12.06,0,0,41.7,0
13.35,1,1,65.6,1
13.7,0,1,53.8,0
4.25,0,1,26.0,0
14.67,0,1,65.0,1
8.07,0,0,31.8,0
6.23,0,1,35.3,0
11.77,0,0,33.4,0
12.34,0,1,45.2,0
9.23,0,0,48.7,0
15.32,0,0,50.7,0
6.63,0,1,29.5,0
10.37,1,0,59.1,0
9.66,0,1,46.0,0
11.81,0,0,45.5,0
13.12,0,1,53.4,0
7.97,0,1,36.7,0
14.9,0,0,49.5,0
12.25,1,1,54.1,0
4.43,1,0,30.7,0
4.17,0,1,29.6,0
11.95,0,0,54.8,0
11.12,1,0,52.0,0
11.59,0,1,33.4,0
11.89,0,0,41.0,0
12.9,0,0,63.9,1
15.79,0,0,59.4,0
7.56,1,1,44.0,0
7.31,0,0,32.1,0
7.63,1,1,44.7,0
13.16,0,1,45.0,0
16.98,0,0,54.5,0
10.27,0,0,37.5,0
1.99,0,1,7.9,0
5.18,0,0,13.5,0
8.67,0,0,32.1,0
9.77,0,1,41.5,0
10.37,1,0,51.9,0
12.15,0,0,34.0,0
10.75,0,1,52.3,0
16.2,0,0,46.3,0
9.3,0,0,45.4,0
8.55,1,0,31.6,0
13.92,1,1,61.1,1
5.86,1,1,47.5,0
13.56,0,0,58.3,0
12.41,0,0,45.4,0
11.41,0,0,44.2,0
18.35,0,0,61.2,1
9.51,0,0,27.3,0
20.24,0,1,72.3,1
11.1,0,0,30.8,0
6.89,0,1,26.7,0
12.28,0,0,45.7,0
7.7,1,0,33.2,0
8.99,1,0,47.2,0
13.59,0,0,37.7,0
14.22,1,1,71.7,1
9.51,0,1,40.1,0
15.95,1,1,84.7,1
16.63,1,0,70.2,1
17.75,0,1,76.9,1
14.12,1,0,55.1,0
17.45,1,1,79.8,1
4.48,1,0,24.6,0
10.73,1,0,47.3,0
8.53,0,0,29.8,0
12.48,0,0,38.3,0
9.71,1,0,38.6,0
11.34,0,1,39.1,0
19.53,0,1,57.2,0
11.32,0,1,41.6,0
13.66,0,0,51.4,0
11.07,0,0,28.0,0
12.3,1,0,45.3,0
12.02,0,0,54.6,0
13.79,1,0,54.9,0
16.66,1,0,70.2,1
18.59,0,0,66.3,1
13.24,0,0,50.4,0
14.36,0,0,38.4,0
7.4,1,1,47.6,0
11.65,1,0,41.6,0
15.76,0,1,79.4,1
15.46,0,0,41.2,0
12.85,0,1,46.2,0
15.55,0,1,54.4,0
13.96,1,1,58.4,0
16.8,1,1,86.9,1
13.16,0,1,71.4,1
10.58,1,1,55.4,0
13.34,0,0,36.8,0
1.0,1,0,5.3,0
13.53,0,1,53.9,0
1.0,0,0,6.8,0
5.11,1,0,28.8,0
13.81,0,0,49.0,0
13.91,0,0,50.5,0
7.35,1,0,42.3,0
9.15,0,1,40.2,0
17.48,0,1,59.7,0
10.06,0,1,49.9,0
20.97,0,0,69.0,1
11.99,0,0,48.2,0
13.63,0,0,52.4,0
18.47,1,0,63.5,1
12.52,0,1,42.5,0
7.99,0,0,24.7,0
11.56,1,1,54.3,0
11.86,0,0,46.9,0
6.54,1,1,49.1,0
10.98,0,0,46.6,0
9.03,1,0,47.9,0
15.7,0,1,63.6,1
12.14,0,0,50.8,0
10.87,1,1,62.9,1
11.58,0,0,41.2,0
12.89,0,0,55.0,0
14.47,0,0,50.2,0
8.0,0,1,36.9,0
7.83,0,0,23.6,0
16.42,0,1,69.2,1
10.35,0,1,54.7,0
6.33,0,1,33.6,0
13.78,0,0,56.5,0
13.85,0,1,42.8,0
5.88,0,1,32.2,0
12.92,0,0,44.5,0
14.94,0,0,45.7,0
13.5,0,0,63.2,1
14.53,0,0,49.1,0
6.38,0,1,31.3,0
13.32,0,0,46.2,0
10.79,0,0,24.3,0
10.07,0,0,30.9,0
15.48,0,0,59.3,0
17.92,1,0,67.3,1
19.18,0,1,66.7,1
17.26,0,1,75.9,1
11.56,0,0,50.1,0
13.41,0,1,58.9,0
